word,tf norm value
anuncia,0.952450572321
afirmou,0.94495910978
vai,0.943728452692
sucesso,0.941468294493
norte,0.937025236622
plus,0.932795199216
imagem,0.930926798855
videogame,0.930599031555
big,0.927664841319
opiniões,0.926080366424
entrevista,0.924572442367
repórteres,0.923331545127
horas,0.920118077405
responsável,0.917784572907
quatro,0.908501651624
edição,0.908354870862
in,0.902735737914
abaixo,0.898386167532
teixeira,0.896079348954
show,0.894878724322
social,0.889557447299
vem,0.882866716948
desenvolvedores,0.878914186533
jones,0.878874198804
sonic,0.873780933872
plataforma,0.871280542718
podem,0.870715763797
controles,0.870245606613
bastante,0.859510953406
segunda,0.858637420388
usuários,0.85395703344
tanto,0.853670720089
diferentes,0.84934668476
gostou,0.845472944348
bird,0.841834376893
jogador,0.833896620819
nuvem,0.827243678627
network,0.825294662326
editores,0.822827763601
ds,0.816962060921
algo,0.814666475372
internet,0.812266919959
três,0.809511073033
parece,0.808873385345
próximo,0.807327594304
jon,0.80726827808
tecnologia,0.805886709559
quarta,0.805117446215
recursos,0.803986561275
tão,0.802398680806
imprensa,0.798625897388
real,0.796841550416
stanley,0.792017582974
edgar,0.790972601321
time,0.789474920185
indie,0.789350770952
precisa,0.784899159083
passado,0.782388248822
caso,0.779970603285
steam,0.777705704095
melhores,0.775459348363
conteúdo,0.759140124076
city,0.757957008432
vitor,0.744361864857
conheça,0.744312856667
anúncio,0.74390657927
criador,0.743143533952
presidente,0.738521603416
vendas,0.736758738057
revelou,0.730925732636
decisão,0.728780668408
possui,0.72746600914
usando,0.727450829832
design,0.726752955934
história,0.720926493174
nba,0.718650989675
exemplo,0.717359640451
empresas,0.709464330345
américa,0.703082339795
barão,0.69367569111
primeira,0.692330030738
experiência,0.690277469256
embora,0.688338528991
luigi,0.685814450046
acesso,0.67977957248
uso,0.675636640274
eventos,0.674720494721
faz,0.671978475742
halo,0.66762101127
motivo,0.665601289719
momento,0.665218961287
diferente,0.66026276482
bros,0.6559482354
duas,0.652669904278
vita,0.650811317058
vezes,0.645923159058
entertainment,0.644950286811
estados,0.643740913453
franquia,0.643623318829
torna,0.642645869848
disponível,0.634311379973
processo,0.633521209397
gamepad,0.632590504077
unidos,0.63251628925
desde,0.632500323014
internacional,0.632103541394
país,0.628170782692
corraini,0.627079428207
arte,0.62579878427
papo,0.625713941249
criar,0.625694776388
infamous,0.624002087014
psn,0.623887626654
presença,0.622739318005
booth,0.620336276201
tela,0.618822086352
heitor,0.615538027032
produtora,0.615429785813
diretor,0.61460972836
trabalho,0.612774945551
europa,0.612234500299
co,0.609733632828
quase,0.608733151679
henrique,0.606173977805
electronic,0.604217202679
arts,0.604217202679
geração,0.601688507464
fim,0.598979749035
mulheres,0.598414851283
mês,0.597548998652
poderão,0.597519821376
anderson,0.596542137599
lost,0.593458182042
faber,0.592456856874
tal,0.590523540841
anunciado,0.588993817073
área,0.588726051956
fato,0.588713798244
meses,0.58711308113
preciso,0.58684185339
casa,0.58328000298
caras,0.581722705287
homem,0.58070737219
babes,0.580621202661
vitória,0.578003412364
jetpack,0.571770708329
noite,0.571750719946
equipes,0.570864696291
saber,0.568681583685
problemas,0.56798249441
premiação,0.567318742582
prêmio,0.566725555914
americano,0.563945914851
maneira,0.561841014289
som,0.560758124028
top,0.555874380621
heroes,0.554176893979
comunidade,0.553772268294
temporada,0.55361205051
aventura,0.553216413948
single,0.552645740323
cerca,0.552230840557
atualmente,0.552198249015
amigos,0.550856433505
principais,0.550621321434
latina,0.549515641733
original,0.5491055299
artigo,0.548352600459
deluxe,0.545870875844
