word,V cluster 1 value,tf norm value
onde,0.561742147803,1.572843532
assunto,0.555524017799,0.738966773766
trás,0.552303607761,0.581221004543
lado,0.551685181603,1.31733746632
possibilidade,0.55112358866,0.667017020491
começou,0.551037333005,0.97701222021
pra,0.55099193353,0.554022517021
devido,0.549431413388,0.669678587858
público,0.548548820422,1.63408328901
virtual,0.548487100875,0.624082476359
festa,0.548313802599,0.696301494197
mão,0.537482971038,0.634841078781
objetivo,0.536769230028,0.673890793889
campanha,0.534718874762,0.864377378512
mundial,0.534525849799,1.15029559411
claro,0.53297606098,0.786810771851
acho,0.532249424546,0.654969417465
torneio,0.532158596999,2.52315652071
horas,0.531785270972,1.23511834154
único,0.526248450025,0.630023033146
canal,0.525008150824,0.71068126448
anterior,0.523003144029,0.617117292301
team,0.517975140611,0.604895029227
podem,0.516191767548,1.18023168807
notícias,0.514144309637,0.889934723297
casa,0.511973307606,3.40081430181
mãos,0.507630431999,0.644133238045
los,0.505141515186,0.730394594572
jogando,0.504642060534,0.695630275234
clássico,0.498913100165,1.01844508683
cartões,0.493727597377,0.671351601022
começo,0.491449776076,0.585483994721
aspectos,0.489968716104,0.451070816739
direito,0.489898640551,1.0216704826
longa,0.48917505868,0.511471893284
companhia,0.488802837304,1.93862702659
campeonatos,0.487600534299,0.427205506499
americana,0.484338901358,0.564372659198
lista,0.483573660746,1.35641486138
manter,0.483526003598,0.498155639833
acesso,0.478609982751,0.909423656557
inclusive,0.47580259536,0.549288790729
acima,0.474660012869,0.480097919108
futuro,0.474654059634,0.667979459367
levando,0.474585604395,0.484825960568
deixou,0.474216222284,1.17002911364
pessoa,0.473708503661,0.561267443472
entretanto,0.47288216111,0.508368461911
redes,0.470525216771,0.878179747882
causa,0.468440138827,0.803249250209
quarto,0.464638310572,0.48615247589
base,0.4608484021,0.578760552419
diferença,0.460276424178,0.46230483423
entanto,0.458016999428,0.980735378703
ganhou,0.455528735183,0.819558279494
cargo,0.453205197832,0.586108942528
poderá,0.452635751798,0.856202413127
receber,0.452178204907,0.735322454223
dar,0.449816384208,1.06163128201
possui,0.445021908327,0.901001323577
