word,tf norm value
companhia,1.93862702659
chega,1.93271757459
recado,1.92546531966
fim,1.91502163193
menos,1.90734624081
empresa,1.89752592837
possível,1.88969247743
momento,1.86808076851
caso,1.8529715666
atleta,1.84469966099
dentro,1.84299175991
campo,1.83184225111
guardiola,1.81756412301
indústria,1.8052180076
dias,1.8005169387
aqui,1.79147204724
chegou,1.79053389634
atual,1.78682064303
copa,1.77644457533
outubro,1.76821542006
videogames,1.7592797551
equipes,1.7582655151
messi,1.74789023524
anunciou,1.71630866585
história,1.70357133897
nba,1.70179563753
campeões,1.68145607504
entrevista,1.67739351422
desde,1.67547953777
zagueiro,1.666667781
vezes,1.66104357838
aldo,1.6600459664
estúdio,1.65571896577
presidente,1.655631875
ex,1.64155721116
marca,1.63425466257
público,1.63408328901
trailer,1.62151478079
tv,1.61709604569
qualquer,1.61476244817
acordo,1.61184386755
personagens,1.5857127324
onde,1.572843532
dez,1.54728679307
próximo,1.5426554769
defesa,1.53882235291
setembro,1.52926183233
itália,1.51631925379
new,1.51447469942
europa,1.51346298599
chance,1.51339549379
ronaldo,1.5086905886
online,1.50827909898
abaixo,1.50719621513
duelo,1.50055422439
traz,1.49522006698
passado,1.49438620437
inglês,1.48853476236
live,1.4846604526
brasileiros,1.48360480136
gente,1.47691429217
belfort,1.47534264153
bastante,1.46778307607
próxima,1.46403398634
placar,1.46116751181
ficar,1.45009430457
decisão,1.44735579642
recebeu,1.44439424932
josé,1.4375808195
quinta,1.43675534573
corinthians,1.4318599865
novos,1.4315988891
city,1.4274434691
lesão,1.42526313009
torcida,1.41509273528
nada,1.40162967657
perdeu,1.40080111144
norte,1.40000759982
logo,1.39549395
mario,1.38989734026
vídeo,1.38886828875
oficial,1.38562166816
data,1.38301237739
frente,1.38076539741
cristiano,1.37920801831
principal,1.37877209414
deu,1.35933965713
lista,1.35641486138
boa,1.35493150649
polônia,1.35457112127
tanto,1.34377707148
edição,1.34126391536
preço,1.34099782111
cinturão,1.33854908097
adversário,1.33639687875
atlético,1.33512941856
silva,1.33428890138
times,1.33205732189
marcou,1.32220399532
títulos,1.32035646571
volta,1.31788524872
quase,1.31775747838
lado,1.31733746632
chances,1.31682876095
executivo,1.31299292066
faz,1.30685958224
consoles,1.30651374934
acabou,1.29971815175
luta,1.29955925782
meia,1.29533757942
novembro,1.29185783105
conferência,1.29175578459
junho,1.28864679152
vem,1.28843368532
desenvolvimento,1.28806334082
diferente,1.28794304583
árbitro,1.27722359766
riot,1.27386780829
tecnologia,1.27204760528
sucesso,1.26864496849
jones,1.26750630059
goleiro,1.26493364393
passou,1.25941177094
sistema,1.25692716736
studios,1.25671895091
treinador,1.23992216472
horas,1.23511834154
resultado,1.22373105365
cinco,1.22143794555
saída,1.22076502709
argentino,1.21561454948
problemas,1.21402815455
flappy,1.20950203913
cerca,1.20808934431
algo,1.202500003
ea,1.20185438297
brasileirão,1.20135111876
podem,1.18023168807
responsável,1.17366280036
precisa,1.17197822425
multiplayer,1.17173750492
deixou,1.17002911364
world,1.16506836627
estádio,1.15845870874
americano,1.15662517796
eliminatórias,1.15430289699
portugal,1.15259265108
semana,1.15251247441
mundial,1.15029559411
melhores,1.14849832127
ficou,1.14806484749
falta,1.14632956726
festival,1.14575356691
local,1.14575244602
clubes,1.14336467193
venceu,1.13849745601
tão,1.12334079034
américa,1.12134991992
jon,1.12079742434
brasília,1.12045948556
imprensa,1.11915760667
seleções,1.11831510555
eua,1.1164157323
show,1.11437074992
sexta,1.11364463977
mercado,1.11307871877
caio,1.11098094983
árbitros,1.10024610146
mês,1.09685830937
vitor,1.09375280711
conquista,1.09155276358
independentes,1.09101463388
anderson,1.08718859284
santos,1.08655608931
terça,1.08652362967
cavaliers,1.08312520005
sociais,1.0809864299
eurocopa,1.0764284685
imagem,1.06913648523
oportunidade,1.06707594615
dar,1.06163128201
estreia,1.06057788568
ataque,1.05764234031
conseguiu,1.05727974402
cultura,1.0554858436
and,1.05397694487
