word,V cluster 0 value,V cluster 1 value,V cluster 2 value,tf norm value
mundo,0.00549381652694,3.00132543142,0.151172719713,1.592355676
chegou,1.76064101745,0.0905185986295,1.23447349212e-26,1.57986342927
quatro,0.856205295479,1.68575654173,1.65192883191e-07,1.55855090187
país,0.71202264275,1.22231052265,1.91665186112e-06,1.55652604504
afirmou,0.580285069889,1.60389896375,2.47180292362e-06,1.54617736774
defesa,1.97363706512,0.00067052524874,5.92752291626e-64,1.51637310451
itália,1.92452637726,0.0055347632811,2.61459914821e-61,1.51631925379
neste,0.926364422851,0.996582645558,3.91949360666e-08,1.51076174019
ronaldo,2.06422830701,0.000158675412858,4.01389292812e-115,1.5086905886
novo,1.36497172186e-12,1.94372471811,3.68621235585,1.50230267984
duelo,1.51325045226,0.00700789139538,6.71271531732e-50,1.50055422439
